id,location,state,file,fileSource,latitude,longitude,Tout,ToutDailyVar,ToutAnnualVar,CDD18,CDD25,radDirNorm,radDiffHoriz,windSpeedMet,elevation,CDD18study
0,Feijó,AC,BRA_AC_Feijo.AP.819240_INMET.epw,INMET,-8.14,-70.34,26.07582192,8.189315068,16.90833333,2959.954167,684.475,71.07488584,100.2462329,1.272694064,163,2600.108333
1,Parque Estadual Chandless,AC,BRA_AC_Parque.Chandless.819630_INMET.epw,INMET,-9.37,-69.93,24.87121005,9.475068493,13.79583333,2517.670833,516.7208333,54.87111872,93.86369863,0.40053653,206,2218.758333
2,Porto Walter,AC,BRA_AC_Porto.Walter.819210_INMET.epw,INMET,-8.27,-72.74,26.36347032,8.309315068,18.32916667,3063.666667,766.625,77.89543379,100.5770548,1.237134703,240,2691.016667
3,Rio Branco,AC,BRA_AC_Rio.Branco.829150_INMET.epw,INMET,-9.96,-68.17,25.116621,8.680273973,16.79583333,2611.075,534.775,67.6859589,98.06358447,1.427351598,220,2297.133333
4,Arapiraca,AL,BRA_AL_Arapiraca.AP.819960_INMET.epw,INMET,-9.8,-36.62,24.84299087,8.867123288,7.1375,2497.7625,497.3125,92.53938356,105.6528539,2.793002283,241,2172.279167
5,Coruripe,AL,BRA_AL_Coruripe.866190_INMET.epw,INMET,-10.13,-36.29,25.72098174,6.961917808,6.075,2818.158333,538.9625,95.73949772,104.1971461,2.215502283,74,2457.625
6,Maceió,AL,BRA_AL_Maceio.829940_INMET.epw,INMET,-9.67,-35.74,25.52243151,7.225205479,5.791666667,2745.6875,514.2791667,109.9730594,97.84657534,2.743824201,64,2392.383333
7,Palmeira dos Índios,AL,BRA_AL_Palmeira.dos.Indios.829920_INMET.epw,INMET,-9.41,-36.63,25.27921233,9.032328767,8.575,2656.991667,594.8875,97.04155251,102.3300228,2.681461187,275,2306.55
8,Pão de Açúcar,AL,BRA_AL_Pao.de.Acucar.819940_INMET.epw,INMET,-9.75,-37.44,27.28173516,10.48328767,9.391666667,3387.833333,1079.145833,112.9133562,97.88481735,1.81989726,19,2939.6875
9,São Luís do Quitunde,AL,BRA_AL_Sao.Luis.do.Quitunde.819970_INMET.epw,INMET,-9.29,-35.57,25.42211187,8.379452055,6.441666667,2709.2375,575.2625,67.22762557,112.1226027,1.702682648,19,2361.425
10,Autazes,AM,BRA_AM_Autazes.817320_INMET.epw,INMET,-3.58,-59.13,26.50482877,8.039452055,5.125,3104.2625,713.5208333,59.53276256,100.9097032,0.781050228,28,2731.5375
11,Barcelos,AM,BRA_AM_Barcelos.AP.816480_INMET.epw,INMET,-0.99,-62.92,26.26980594,8.606849315,5.7,3018.479167,697.0791667,77.89075342,96.48219178,0.951461187,17,2679.6625
12,Coari,AM,BRA_AM_Coari.817700_INMET.epw,INMET,-4.1,-63.15,26.2509589,7.606575342,6.216666667,3011.6,642.0416667,73.74611872,98.17351598,1.197945205,43,2647.825
13,Humaitá,AM,BRA_AM_Humaita.AP.818900_INMET.epw,INMET,-7.55,-63.07,26.28507991,9.054246575,8.725,3024.054167,726.5208333,61.64086758,101.6484018,1.260570776,72,2659.9125
14,Itacoatiara,AM,BRA_AM_Itacoatiara.AP.817330_INMET.epw,INMET,-3.13,-58.48,26.42942922,6.705205479,5.65,3076.741667,637.7291667,65.69726027,99.84178082,1.025262557,45,2708.629167
15,Manacapuru,AM,BRA_AM_Manacapuru.817290_INMET.epw,INMET,-3.29,-60.63,26.70017123,6.80739726,5.920833333,3175.5625,710.75,71.32910959,97.30136986,1.497762557,19,2795.354167
16,Manaus,AM,BRA_AM_Manaus-Gomez.Intl.AP.817300_INMET.epw,INMET,-3.1,-60.03,27.27947489,7.071232877,9.920833333,3387.008333,897.5458333,80.16312785,97.40011416,1.401107306,67,2986.720833
17,Maués,AM,BRA_AM_Maues.817340_INMET.epw,INMET,-3.4,-57.67,26.5730137,8.049315068,6.125,3129.15,723.725,67.94874429,104.2294521,0.700342466,35,2767.870833
18,Parintins,AM,BRA_AM_Parintins.817030_INMET.epw,INMET,-2.64,-56.76,27.49006849,6.356164384,6.758333333,3463.875,952.8708333,91.59315068,94.42157534,1.242865297,35,3074.979167
19,Presidente Figueiredo,AM,BRA_AM_Presidente.Figueiredo.816990_INMET.epw,INMET,-2.06,-60.03,26.64430365,9.091232877,6.2375,3155.170833,804.8208333,55.0369863,103.8656393,0.766210046,92,2806.245833
20,Urucará,AM,BRA_AM_Urucara.AP.817020_INMET.epw,INMET,-2.53,-57.76,27.46123288,7.921917808,7.483333333,3453.35,985.875,85.0890411,97.14394977,1.140159817,17,3063.0875
21,Macapá,AP,BRA_AP_Macapa-Alcolumbre.Intl.AP.820980_INMET.epw,INMET,0.04,-51.07,25.77817352,8.977808219,4.841666667,2839.033333,616.2458333,50.90673516,107.6239726,1.255582192,15,2522.908333
22,Oiapoque,AP,BRA_AP_Oiapoque.816090_INMET.epw,INMET,3.81,-51.86,25.56219178,8.825205479,5.383333333,2760.2,598.5583333,61.54920091,102.9793379,1.047031963,21,2460.258333
23,Porto Grande,AP,BRA_AP_Porto.Grande.816370_INMET.epw,INMET,0.7,-51.41,25.77817352,8.977808219,4.841666667,2839.033333,616.2458333,50.92968037,107.6092466,1.255582192,77,2522.908333
24,Tartarugalzinho,AP,BRA_AP_Tartarugalzinho.816280_INMET.epw,INMET,1.5,-50.92,25.9922032,8.543013699,4.904166667,2917.154167,661.275,66.2793379,103.101484,2.076050228,21,2583.420833
25,Amargosa,BA,BRA_BA_Amargosa.AP.866750_INMET.epw,INMET,-13.01,-39.62,23.17565068,7.771506849,8.275,1897.95,254.2625,84.81050228,104.4402968,3.036757991,407,1647.8625
26,Barra,BA,BRA_BA_Barra.AP.866340_INMET.epw,INMET,-11.08,-43.14,26.79222603,11.76082192,8.625,3215.766667,1013.929167,127.8071918,90.72180365,1.718207763,403,2836.083333
27,Barreiras,BA,BRA_BA_Barreiras.866520_INMET.epw,INMET,-12.15,-44.99,25.12493151,13.2860274,9.366666667,2647.404167,785.175,112.7542237,93.52534247,1.665034247,470,2315.9625
28,Belmonte,BA,BRA_BA_Belmonte.867440_INMET.epw,INMET,-16.09,-39.22,23.78600457,9.595342466,9.4375,2135.658333,396.275,82.76221461,103.1277397,1.649440639,88,1842.8
29,Bom Jesus da Lapa,BA,BRA_BA_Bom.Jesus.da.Lapa.AP.866720_INMET.epw,INMET,-13.26,-43.42,26.24819635,11.40986301,10.11666667,3013.425,906.0458333,110.5146119,95.29680365,1.551997717,440,2670.1
30,Brumado,BA,BRA_BA_Brumado.866960_INMET.epw,INMET,-14.18,-41.67,25.1665411,9.284109589,10.09166667,2624.6375,632.9833333,98.64166667,95.26940639,1.435901826,470,2357.4875
31,Buritirama,BA,BRA_BA_Buritirama.AP.866090_INMET.epw,INMET,-10.72,-43.65,25.43762557,12.22520548,9.466666667,2735.35,788.1166667,105.605137,96.97659817,1.991004566,502,2425.1875
32,Caravelas,BA,BRA_BA_Caravelas.834970_INMET.epw,INMET,-17.73,-39.2,25.02063927,6.604931507,7.358333333,2562.920833,412.4708333,94.92591324,94.75251142,2.44880137,3,2236.4375
33,Conde,BA,BRA_BA_Conde.866390_INMET.epw,INMET,-11.81,-37.62,25.9344863,6.627945205,6.458333333,2896.0875,589.2916667,109.2070776,97.58778539,2.396472603,14,2523.033333
34,Correntina,BA,BRA_BA_Correntina.866710_INMET.epw,INMET,-13.33,-44.62,23.82134703,13.42,12.67916667,2257.125,610.1166667,111.3267123,94.09063927,1.46456621,549,2006.85
35,Cruz das Almas,BA,BRA_BA_Cruz.das.Almas.866570_INMET.epw,INMET,-12.67,-39.1,23.92334475,7.900547945,9.204166667,2166.4875,346.1875,73.98276256,109.8049087,2.91663242,226,1857.470833
36,Delfino,BA,BRA_BA_Delfino.866100_INMET.epw,INMET,-10.46,-41.21,23.84319635,11.05808219,7.35,2156.983333,455.5583333,93.99851598,98.43401826,2.451232877,637,1880.229167
37,Euclides da Cunha,BA,BRA_BA_Euclides.da.Cunha.866130_INMET.epw,INMET,-10.54,-39,24.10829909,9.369589041,9.9375,2236.658333,487.2583333,86.44794521,105.8416667,3.275707763,432,2009.895833
38,Feira de Santana,BA,BRA_BA_Feira.de.Santana.866580_INMET.epw,INMET,-12.27,-38.97,24.59780822,8.990684932,10.42916667,2414.079167,501.9041667,74.0793379,103.6170091,2.505216895,231,2099.708333
39,Guanambi,BA,BRA_BA_Guanambi.AP.866940_INMET.epw,INMET,-14.21,-42.75,25.65214612,9.649589041,9.479166667,2793.2375,688.6541667,123.966895,89.72888128,3.23989726,551,2468.375
40,Ibotirama,BA,BRA_BA_Ibotirama.866530_INMET.epw,INMET,-12.19,-43.21,26.73187215,12.00849315,11.6875,3196.341667,1023.958333,116.1954338,94.47990868,2.229863014,430,2841.754167
41,Ilhéus,BA,BRA_BA_Ilheus.866990_INMET.epw,INMET,-14.79,-39.05,23.44860731,7.193424658,8.379166667,2002.6,220.5791667,75.72865297,105.5328767,2.004452055,78,1724.4625
42,Ipiaú,BA,BRA_BA_Ipiau.866980_INMET.epw,INMET,-14.14,-39.73,24.56248858,9.650958904,8.575,2398.4875,497.925,86.75753425,103.0121005,1.481906393,135,2103.191667
43,Irecê,BA,BRA_BA_Irece.AP.866350_INMET.epw,INMET,-11.33,-41.86,23.94525114,11.01671233,7.85,2188.883333,464.9916667,116.0401826,95.68984018,2.588652968,755,1941.991667
44,Itaberaba,BA,BRA_BA_Itaberaba.832440_INMET.epw,INMET,-12.53,-40.31,24.92978311,9.835342466,10.55,2546.095833,558.1666667,78.57454338,102.1012557,2.189326484,250,2221.375
45,Itapetinga,BA,BRA_BA_Itapetinga.867230_INMET.epw,INMET,-15.24,-40.24,24.67423516,10.48986301,9.070833333,2450.779167,568.2541667,87.16906393,101.5592466,2.136381279,279,2120.220833
46,Itiruçu,BA,BRA_BA_Itirucu.866740_INMET.epw,INMET,-13.53,-40.15,21.06037671,8.857808219,9.979166667,1235.333333,146.35,70.56152968,105.8039954,2.662111872,756,1067.133333
47,Jacobina,BA,BRA_BA_Jacobina.866360_INMET.epw,INMET,-11.21,-40.47,24.36237443,9.766849315,9.079166667,2327.383333,468.2708333,78.61940639,102.4567352,1.830251142,453,2043.8125
48,Lençóis,BA,BRA_BA_Lencois.866540_INMET.epw,INMET,-12.56,-41.39,24.85493151,9.68630137,9.208333333,2510.995833,538.1208333,71.75045662,98.14771689,1.168607306,439,2206.291667
49,Macajuba,BA,BRA_BA_Macajuba.866550_INMET.epw,INMET,-12.14,-40.36,24.05605023,9.664109589,10.16666667,2233.945833,433.1291667,79.13641553,102.0447489,2.784737443,380,1950.758333
50,Maraú,BA,BRA_BA_Marau.866770_INMET.epw,INMET,-13.91,-38.97,25.67393836,5.569863014,7.883333333,2800.9875,499.3041667,106.2366438,95.89052511,2.233675799,10,2441.2875
51,Paulo Afonso,BA,BRA_BA_Paulo.Afonso.829860_INMET.epw,INMET,-9.41,-38.22,26.32472603,10.19123288,9.608333333,3038.691667,871.7083333,101.2188356,102.2295662,4.272796804,253,2656.554167
52,Piatã,BA,BRA_BA_Piata.866730_INMET.epw,INMET,-13.16,-41.77,19.79696347,8.025205479,9.329166667,849.175,43.8125,96.20205479,93.75216895,2.374063927,1290,754.8875
53,Porto Seguro,BA,BRA_BA_Porto.Seguro.867450_INMET.epw,INMET,-16.39,-39.18,23.74295662,8.479726027,7.45,2108.420833,326.7041667,74.32819635,103.3570776,1.459383562,85,1837.758333
54,Queimadas,BA,BRA_BA_Queimadas.866120_INMET.epw,INMET,-10.98,-39.62,26.1327968,10.0909589,10.39583333,2968.858333,831.3125,85.99429224,105.3045662,3.187979452,315,2590.983333
55,Remanso,BA,BRA_BA_Remanso.829790_INMET.epw,INMET,-9.62,-42.08,26.81585616,7.944109589,8.475,3217.7875,827.8125,112.2224886,95.20456621,2.411221461,401,2825
56,Salvador,BA,BRA_BA_Salvador.866780_INMET.epw,INMET,-12.97,-38.51,25.86309361,5.617260274,7.516666667,2870.029167,497.3,99.89554795,95.28356164,1.276061644,51,2495.879167
57,Santa Rita de Cássia,BA,BRA_BA_Santa.Rita.de.Cassia.866330_INMET.epw,INMET,-11.01,-44.52,26.05268265,13.21452055,10.175,2972.833333,945.6166667,117.3468037,95.90011416,1.675399543,450,2641.625
